#Programa,Nombre de Programa,Stored Procedure
14,Actualiza O.Compra x Factura,PR_ERP_FNZ_QRY_GN_CANTIDADFACTURADAORDENCOMPRAACTUALIZA
14,Actualiza O.Compra x Factura,PR_ERP_FNZ_QRY_GN_CANTIDADFACTURADAORDENCOMPRAACTUALIZA
20,Graba Ing/Egr a Bancos,DBO.PR_ERP_FNZ_QRY_GN_EGRESOBANCOCREACION
20,Graba Ing/Egr a Bancos,PR_ERP_FNZ_QRY_GN_IngresoBancoCreacion
20,Graba Ing/Egr a Bancos,USP_BCO_GRABA_BCOINGRESOS_2
20,Graba Ing/Egr a Bancos,USP_BCO_GRABA_BCOINGRESOS_2
29,Integracion de Procesos,COM_WS_PROTHEUS_CONCEPTOS
29,Integracion de Procesos,COM_WS_PROTHEUS_COND_PAGO
29,Integracion de Procesos,COM_WS_PROTHEUS_DOCUMENTO_ENTRADA
29,Integracion de Procesos,COM_WS_PROTHEUS_FACTURA_COMPRA
29,Integracion de Procesos,COM_WS_PROTHEUS_PRODUCTOS
29,Integracion de Procesos,COM_WS_PROTHEUS_PROVEEDORES
35,Calcula Impuesto Bancos,USP_ADM_CALCULO_IMPUESTO_BANCO
40,Control de Ingresos ERP SQL,PR_ERP_RDD_QRY_GN_REGDOCUMENTO
48,Proceso Envio/Anulacion EFlete,PR_ERP_COM_QRY_WS_ANULAANUNCIO_PE
48,Proceso Envio/Anulacion EFlete,PR_ERP_COM_QRY_WS_ANUNCIO_BLOQUE
48,Proceso Envio/Anulacion EFlete,PR_ERP_COM_QRY_WS_ENVIOANUNCIO_PE
48,Proceso Envio/Anulacion EFlete,PR_ERP_COM_QRY_WS_PUBLICARENVIO
48,Proceso Envio/Anulacion EFlete,PR_ERP_COM_QRY_WS_PUBLICARENVIO
49,Envio Transportista Eflete,PR_ERP_COM_QRY_WS_ASOCIATRANSPORTISTA_PE
50,Proceso Envio/Oco Importacion,PR_ERP_COM_QRY_GN_IMPORTACION_EXP
52,Proceso Envio/Consulta Naby,PR_ERP_FNZ_QRY_WS_CONSULTAFACTURACOMPRAELECTRONICA_CR
52,Proceso Envio/Consulta Naby,PR_ERP_FNZ_QRY_WS_FACTURACOMPRAELECTRONICA_CR
64,Generacion Percepcion Cliente,DBO.PR_ERP_FNZ_QRY_GN_GeneraComprobantePercepcionCliente
65,Generacion Retencion Cliente,DBO.PR_ERP_FNZ_QRY_GN_GENERACOMPROBANTERETENCIONCLIENTE
66,Proceso Envio/Consulta Dian,PR_ERP_FNZ_QRY_WS_CONSULTAFACTURACOMPRAELECTRONICA_CO
66,Proceso Envio/Consulta Dian,PR_ERP_FNZ_QRY_WS_FACTURACOMPRAELECTRONICA_CO
67,Generacion Percepcion Proveedo,DBO.PR_ERP_FNZ_QRY_GN_GeneraComprobantePercepcionProveedor
68,Generacion Retencion Proveedor,DBO.PR_ERP_FNZ_QRY_GN_GeneraComprobanteRetencionProveedor
69,Genera ITF/Comision Automatica,dbo.PR_ERP_FNZ_QRY_GeneraITFComisionAutomatica
70,Eliminar Aplicaciones Erradas,PR_ERP_FNZ_QRY_GN_EliminaAplicacionCobrarErrada
70,Eliminar Aplicaciones Erradas,PR_ERP_FNZ_QRY_GN_EliminaEgresoBancoErrado
70,Eliminar Aplicaciones Erradas,PR_ERP_FNZ_QRY_GN_EliminaIngresoBancoErrado
70,Eliminar Aplicaciones Erradas,PR_ERP_FNZ_QRY_GN_EliminarRendicionBancoErrado
78,Genera Deposito Automatico,PR_ERP_FNZ_QRY_GN_TRANSFERENCIABANCOS
162,Obtener Percepcion Proveedor,PR_ERP_FNZ_QRY_GN_ObtenerPercepcionProveedorInterface
168,Control Orden de Giro,PR_ERP_FNZ_QRY_GN_ORDENGIROCONTROLPAGOS
168,Control Orden de Giro,PR_ERP_FNZ_QRY_GN_ORDENGIROCONTROLPAGOS
174,Ver RSF Afiliadas,DBO.USP_ADM_ACTUALIZA_RSF_BLOQUE_SALDO
174,Ver RSF Afiliadas,dbo.USP_ADM_CONSULTARSFAFILIADAS
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTAPERCEPCIONELECTRONICA_DF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTAPERCEPCIONELECTRONICA_ET_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTAPERCEPCIONELECTRONICA_ET_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTAPERCEPCIONELECTRONICA_LG_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTAPERCEPCIONELECTRONICA_NF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTAPERCEPCIONELECTRONICA_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_DF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_ET_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_ET_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_LG_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_NF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_PE
